Country,Average GDP
Afghanistan,6.329739130434783
Albania,11.06613043478261
Algeria,139.2718260869565
Angola,71.33321739130433
Antigua and Barbuda,1.1483478260869564
Argentina,359.2788260869565
Armenia,8.118608695652172
Australia,976.9197391304349
Austria,355.8940434782608
Azerbaijan,42.275695652173916
The Bahamas,4.175652173913043
Bahrain,23.028652173913038
Bangladesh,148.07665217391306
Barbados,3.829782608695652
Belarus,50.49021739130434
Belgium,434.73591304347826
Belize,1.4876086956521737
Benin,7.518999999999999
Bhutan,1.7214347826086955
Bolivia,22.732347826086958
Bosnia and Herzegovina,14.902173913043478
Botswana,12.115043478260871
Brazil,1380.8396086956523
Brunei Darussalam,12.270043478260868
Bulgaria,41.78273913043479
Burkina Faso,9.693695652173911
Burundi,1.941565217391304
Cambodia,13.576173913043476
Cameroon,25.271652173913047
Canada,1393.6717826086956
Cape Verde,0.8696086956521739
Central African Republic,1.8936521739130436
Chad,8.60095652173913
Chile,178.5477391304348
China,7444.460869565219
Colombia,219.41682608695655
Comoros,0.5771739130434782
Democratic Republic of Congo,5.971391304347826
Republic of Congo,4.566956521739131
Costa Rica,36.99291304347826
Côte d'Ivoire,29.190260869565222
Croatia,49.24369565217391
Cyprus,19.993347826086957
Czech Republic,171.43804347826088
Denmark,295.56369565217386
Djibouti,1.5295652173913044
Dominica,0.41930434782608694
Dominican Republic,49.499086956521744
Ecuador,64.56343478260868
Egypt,132.80678260869564
El Salvador,22.376652173913044
Equatorial Guinea,8.92413043478261
Eritrea,2.7290869565217393
Estonia,19.57708695652174
Ethiopia,37.69417391304347
Fiji,3.5243478260869567
Finland,226.4279130434782
France,2396.484347826087
Gabon,11.790391304347827
Gambia,0.37708695652173907
Georgia,11.067130434782609
Germany,3165.145217391305
Ghana,27.774478260869564
Greece,257.76052173913047
Grenada,0.7493913043478261
Guatemala,47.26634782608696
Guinea,6.285260869565218
Guinea-Bissau,0.7032608695652176
Guyana,2.3736521739130434
Haiti,7.637913043478259
Honduras,15.174173913043479
Hong Kong SAR,254.13947826086954
Hungary,121.70417391304348
Iceland,15.255695652173914
India,1628.4053913043479
Indonesia,622.8506521739131
"Iran, Islamic Republic of",155.34982608695654
Ireland,239.17039130434782
Israel,233.86660869565216
Italy,1867.5752173913042
Jamaica,12.078913043478257
Japan,4675.176086956522
Jordan,27.145260869565224
Kazakhstan,127.67591304347827
Kenya,48.41513043478261
Kiribati,0.11578260869565218
Korea,1097.7451739130433
Kuwait,110.16921739130436
Kyrgyz Republic,5.159521739130435
Lao People's Democratic Republic,2.657913043478261
Latvia,23.473652173913045
Lebanon,33.502
Lesotho,1.766608695652174
Liberia,1.4397826086956522
Libya,49.296956521739126
Lithuania,36.25904347826087
Luxembourg,50.127739130434776
"Macedonia, Former Yugoslav Republic of",4.540869565217391
Madagascar,8.422652173913043
Malawi,5.264739130434783
Malaysia,249.51243478260866
Maldives,2.090782608695652
Mali,9.646782608695652
Malta,8.364695652173912
Mauritania,3.9761304347826085
Mauritius,9.127608695652174
Mexico,998.6184347826085
Moldova,5.269347826086957
Mongolia,7.20404347826087
Morocco,87.81391304347827
Mozambique,12.347304347826089
Myanmar,38.797347826086956
Namibia,9.450826086956523
Nepal,17.05334782608696
Netherlands,735.9734782608696
New Zealand,131.82330434782608
Nicaragua,8.395043478260868
Niger,6.520999999999999
Nigeria,263.52413043478265
Norway,352.0717826086956
Oman,50.65821739130434
Pakistan,97.43743478260868
Panama,33.994782608695644
Papua New Guinea,11.029695652173915
Paraguay,18.39434782608696
Peru,136.0759565217391
Philippines,219.57839130434783
Poland,423.08408695652173
Portugal,201.07895652173912
Qatar,120.58652173913042
Romania,162.9691304347826
Russia,1159.2288695652173
Rwanda,5.962086956521739
Samoa,0.5888695652173913
São Tomé and Príncipe,0.23026086956521735
Saudi Arabia,485.1830869565218
Senegal,13.699608695652172
Serbia,36.88908695652174
Seychelles,1.0428695652173912
Sierra Leone,2.765695652173913
Singapore,212.24447826086958
Slovak Republic,77.63543478260871
Slovenia,43.74421739130435
Solomon Islands,0.8496086956521741
South Africa,280.88321739130436
Spain,1227.462304347826
Sri Lanka,52.28973913043478
St. Kitts and Nevis,0.6592173913043479
St. Lucia,1.1728695652173915
St. Vincent and the Grenadines,0.6285652173913043
Sudan,57.19260869565219
Suriname,3.4610434782608697
Swaziland,2.7505652173913044
Sweden,439.2396086956522
Switzerland,512.4271304347826
Syrian Arab Republic,26.980434782608693
Taiwan Province of China,458.58713043478264
Tajikistan,5.3720869565217395
Tanzania,31.162304347826094
Thailand,299.76865217391304
"Timor-Leste, Dem. Rep. of",0.36721739130434783
Togo,3.6318260869565218
Tonga,0.3269565217391304
Trinidad and Tobago,23.081826086956525
Tunisia,37.82365217391305
Turkey,543.7744347826086
Turkmenistan,27.726260869565216
Uganda,19.45313043478261
Ukraine,107.87339130434783
United Arab Emirates,254.5232608695653
United Kingdom,2583.352608695652
United States,15805.31347826087
Uruguay,39.18378260869565
Uzbekistan,41.758434782608695
Vanuatu,0.6155652173913044
Venezuela,189.1678260869565
Vietnam,143.55834782608696
"Yemen, Republic of",13.919826086956522
Zambia,16.424608695652175
Zimbabwe,14.673739130434782
